Date,Location,MaxTemp,MinTemp,Precipitation,WindSpeed,WeatherCondition
2023-01-01,New York,14.1,11.5,79.7,39.8,Cloudy
2023-01-01,Los Angeles,10.7,-11.0,31.8,19.4,Cloudy
2023-01-01,Chicago,7.1,-12.0,0.0,45.5,Cloudy
2023-01-01,Houston,4.5,-10.0,71.0,37.2,Sunny
2023-01-01,Phoenix,27.9,21.7,0.0,57.0,Cloudy
2023-01-01,Philadelphia,22.0,14.8,0.0,15.7,Cloudy
2023-01-01,San Antonio,19.4,14.8,71.4,7.9,Cloudy
2023-01-01,San Diego,44.5,20.2,0.0,1.1,Windy
2023-01-01,Dallas,35.2,7.1,0.0,37.4,Rainy
2023-01-01,San Jose,25.1,-1.4,76.6,58.1,Rainy
2023-01-02,New York,41.3,4.0,0.0,47.4,Cloudy
2023-01-02,Los Angeles,7.9,6.7,0.0,16.3,Windy
2023-01-02,Chicago,10.9,-2.7,0.0,10.9,Cloudy
2023-01-02,Houston,2.4,-6.8,57.3,39.7,Windy
2023-01-02,Phoenix,13.4,1.7,0.0,22.7,Rainy
2023-01-02,Philadelphia,4.3,-1.8,72.0,22.3,Windy
2023-01-02,San Antonio,24.0,17.5,28.0,43.2,Sunny
2023-01-02,San Diego,-5.4,-7.7,0.0,49.3,Cloudy
2023-01-02,Dallas,-6.3,-14.5,0.0,48.5,Snowy
2023-01-02,San Jose,0.2,-8.6,0.0,36.8,Cloudy
2023-01-03,New York,-4.5,-14.4,5.4,45.5,Windy
2023-01-03,Los Angeles,26.6,17.9,0.0,35.3,Snowy
2023-01-03,Chicago,40.2,39.2,0.0,24.6,Rainy
2023-01-03,Houston,-6.4,-9.2,72.9,56.9,Sunny
2023-01-03,Phoenix,40.7,34.8,0.0,54.8,Sunny
2023-01-03,Philadelphia,-2.6,-4.4,0.0,35.5,Cloudy
2023-01-03,San Antonio,18.7,-5.1,0.0,38.0,Rainy
2023-01-03,San Diego,33.0,6.7,0.0,56.0,Snowy
2023-01-03,Dallas,-5.8,-13.2,0.0,31.6,Windy
2023-01-03,San Jose,-6.0,-6.4,0.0,13.5,Rainy
2023-01-04,New York,7.3,2.5,0.0,59.6,Windy
2023-01-04,Los Angeles,28.9,27.7,0.0,47.1,Rainy
2023-01-04,Chicago,-5.0,-8.6,0.0,28.8,Rainy
2023-01-04,Houston,-3.3,-6.7,0.0,10.6,Sunny
2023-01-04,Phoenix,29.7,-12.4,0.0,58.3,Windy
2023-01-04,Philadelphia,-1.2,-13.7,0.0,36.9,Snowy
2023-01-04,San Antonio,-7.5,-14.9,0.0,30.0,Sunny
2023-01-04,San Diego,27.1,5.6,0.0,29.1,Snowy
2023-01-04,Dallas,21.7,-11.1,0.0,19.9,Snowy
2023-01-04,San Jose,40.0,2.6,97.2,28.7,Windy
2023-01-05,New York,40.7,33.3,1.3,1.9,Snowy
2023-01-05,Los Angeles,42.8,11.6,0.0,24.0,Rainy
2023-01-05,Chicago,18.5,0.1,0.0,17.1,Rainy
2023-01-05,Houston,20.8,-0.9,0.0,58.4,Rainy
2023-01-05,Phoenix,34.6,15.5,74.7,54.6,Snowy
2023-01-05,Philadelphia,-0.6,-7.1,0.0,39.1,Snowy
2023-01-05,San Antonio,9.8,-8.6,0.0,2.0,Snowy
2023-01-05,San Diego,-5.1,-6.4,0.0,4.1,Windy
2023-01-05,Dallas,17.3,7.1,0.0,0.9,Rainy
2023-01-05,San Jose,34.3,7.6,0.0,54.0,Rainy
2023-01-06,New York,42.0,35.8,0.0,45.6,Rainy
2023-01-06,Los Angeles,37.9,34.6,78.1,20.9,Rainy
2023-01-06,Chicago,8.0,-6.4,0.0,6.2,Snowy
2023-01-06,Houston,23.1,19.1,0.0,38.5,Windy
2023-01-06,Phoenix,22.5,10.9,0.0,11.0,Windy
2023-01-06,Philadelphia,9.3,8.2,37.9,33.5,Sunny
2023-01-06,San Antonio,34.5,-2.5,0.0,32.0,Snowy
2023-01-06,San Diego,26.8,-4.2,0.0,49.3,Cloudy
2023-01-06,Dallas,40.6,11.0,0.0,39.5,Windy
2023-01-06,San Jose,38.1,28.8,0.0,1.3,Snowy
2023-01-07,New York,-5.1,-10.1,91.5,40.6,Rainy
2023-01-07,Los Angeles,10.8,-4.3,52.2,12.6,Windy
2023-01-07,Chicago,18.6,5.0,0.0,23.0,Cloudy
2023-01-07,Houston,3.8,-12.1,0.0,30.9,Windy
2023-01-07,Phoenix,11.1,-2.1,0.0,51.0,Sunny
2023-01-07,Philadelphia,40.1,5.2,0.0,33.7,Snowy
2023-01-07,San Antonio,12.5,-8.6,0.0,23.8,Cloudy
2023-01-07,San Diego,27.6,18.5,0.0,44.5,Cloudy
2023-01-07,Dallas,4.3,-5.5,70.7,26.2,Rainy
2023-01-07,San Jose,14.0,-11.6,34.7,49.8,Cloudy
2023-01-08,New York,-2.9,-9.3,0.0,20.7,Cloudy
2023-01-08,Los Angeles,2.5,-10.8,0.0,26.0,Windy
2023-01-08,Chicago,3.8,-2.5,88.2,13.3,Sunny
2023-01-08,Houston,24.9,1.3,8.9,37.4,Windy
2023-01-08,Phoenix,23.7,-5.0,15.5,46.9,Windy
2023-01-08,Philadelphia,18.7,-6.8,0.0,1.8,Windy
2023-01-08,San Antonio,32.4,28.5,0.0,43.8,Sunny
2023-01-08,San Diego,7.2,-6.6,0.0,14.4,Sunny
2023-01-08,Dallas,-5.3,-7.5,0.0,56.9,Cloudy
2023-01-08,San Jose,15.0,-7.1,0.0,30.4,Snowy
2023-01-09,New York,-6.7,-12.1,0.0,5.9,Sunny
2023-01-09,Los Angeles,-5.7,-9.3,0.0,17.8,Rainy
2023-01-09,Chicago,-2.9,-6.5,0.0,35.7,Windy
2023-01-09,Houston,20.1,10.1,0.0,16.6,Sunny
2023-01-09,Phoenix,-4.4,-5.6,0.0,55.4,Snowy
2023-01-09,Philadelphia,38.4,27.6,0.0,0.5,Snowy
2023-01-09,San Antonio,5.1,2.1,0.0,44.9,Snowy
2023-01-09,San Diego,31.8,16.8,0.0,20.9,Cloudy
2023-01-09,Dallas,43.1,22.1,0.0,30.2,Rainy
2023-01-09,San Jose,34.2,-4.2,0.0,30.2,Rainy
2023-01-10,New York,12.7,-1.3,0.0,54.3,Cloudy
2023-01-10,Los Angeles,23.3,6.9,0.0,52.7,Snowy
2023-01-10,Chicago,22.7,19.6,0.0,24.7,Snowy
2023-01-10,Houston,11.5,6.0,0.0,34.8,Windy
2023-01-10,Phoenix,-6.6,-7.4,53.9,7.2,Snowy
2023-01-10,Philadelphia,-4.0,-6.6,0.0,12.5,Cloudy
2023-01-10,San Antonio,-7.2,-11.6,82.4,7.7,Sunny
2023-01-10,San Diego,4.9,-9.9,0.0,10.0,Windy
2023-01-10,Dallas,13.7,7.3,32.4,37.5,Snowy
2023-01-10,San Jose,39.2,22.4,0.0,59.3,Cloudy
2023-01-11,New York,13.2,5.2,0.0,20.5,Sunny
2023-01-11,Los Angeles,-7.8,-11.0,36.6,10.2,Rainy
2023-01-11,Chicago,2.7,-12.6,19.0,1.9,Snowy
2023-01-11,Houston,35.0,6.2,0.0,23.6,Windy
2023-01-11,Phoenix,8.2,6.6,79.5,13.9,Cloudy
2023-01-11,Philadelphia,16.2,14.8,0.0,11.0,Windy
2023-01-11,San Antonio,3.9,2.0,0.0,19.7,Cloudy
2023-01-11,San Diego,-5.6,-13.9,0.0,25.8,Snowy
2023-01-11,Dallas,3.7,-3.9,0.0,29.9,Snowy
2023-01-11,San Jose,16.6,-12.0,0.0,24.5,Sunny
2023-01-12,New York,39.5,28.2,0.0,51.3,Windy
2023-01-12,Los Angeles,43.7,2.0,0.0,38.6,Rainy
2023-01-12,Chicago,43.7,15.7,0.0,11.1,Snowy
2023-01-12,Houston,41.5,-6.4,0.0,42.2,Sunny
2023-01-12,Phoenix,10.0,-1.9,0.0,54.4,Windy
2023-01-12,Philadelphia,19.0,10.3,82.4,28.0,Windy
2023-01-12,San Antonio,-6.0,-8.2,8.1,6.6,Sunny
2023-01-12,San Diego,18.7,6.2,0.0,0.5,Snowy
2023-01-12,Dallas,-7.8,-13.0,21.4,50.5,Windy
2023-01-12,San Jose,10.9,8.4,0.0,57.3,Snowy
2023-01-13,New York,17.2,11.4,0.0,47.4,Snowy
2023-01-13,Los Angeles,40.4,-14.6,0.0,53.0,Cloudy
2023-01-13,Chicago,4.6,-0.9,30.2,45.4,Cloudy
2023-01-13,Houston,20.4,5.9,9.2,32.7,Snowy
2023-01-13,Phoenix,5.8,-6.2,67.7,38.5,Snowy
2023-01-13,Philadelphia,39.1,14.2,0.0,32.7,Snowy
2023-01-13,San Antonio,35.8,0.9,36.8,36.4,Windy
2023-01-13,San Diego,26.0,-8.9,0.0,7.6,Cloudy
2023-01-13,Dallas,1.6,-3.0,39.0,26.3,Snowy
2023-01-13,San Jose,10.6,7.2,63.9,40.3,Windy
2023-01-14,New York,27.9,-11.1,0.0,59.1,Windy
2023-01-14,Los Angeles,-9.8,-13.1,0.0,18.4,Cloudy
2023-01-14,Chicago,30.9,25.6,13.9,4.1,Windy
2023-01-14,Houston,43.2,-1.6,41.9,27.6,Sunny
2023-01-14,Phoenix,25.9,-9.4,0.0,54.7,Snowy
2023-01-14,Philadelphia,3.6,-13.4,0.0,31.9,Sunny
2023-01-14,San Antonio,38.3,1.5,95.1,20.8,Windy
2023-01-14,San Diego,-8.8,-10.8,0.0,2.6,Cloudy
2023-01-14,Dallas,6.1,-9.8,0.0,57.7,Rainy
2023-01-14,San Jose,31.6,-3.1,0.0,8.4,Sunny
2023-01-15,New York,43.8,30.1,0.0,16.1,Snowy
2023-01-15,Los Angeles,31.0,28.9,37.3,21.2,Cloudy
2023-01-15,Chicago,13.5,-8.9,0.0,17.6,Snowy
2023-01-15,Houston,27.1,-8.4,0.0,8.5,Cloudy
2023-01-15,Phoenix,38.9,13.2,0.0,19.8,Rainy
2023-01-15,Philadelphia,42.8,39.9,0.0,43.6,Windy
2023-01-15,San Antonio,28.0,1.3,0.0,21.9,Rainy
2023-01-15,San Diego,0.4,-4.1,0.0,45.1,Rainy
2023-01-15,Dallas,1.1,-10.9,0.0,18.6,Snowy
2023-01-15,San Jose,8.2,-0.2,0.0,19.2,Cloudy
2023-01-16,New York,44.0,6.5,0.0,22.3,Cloudy
2023-01-16,Los Angeles,-6.1,-13.8,0.0,8.5,Sunny
2023-01-16,Chicago,-6.8,-14.1,80.1,16.6,Sunny
2023-01-16,Houston,-4.3,-9.5,0.0,33.6,Sunny
2023-01-16,Phoenix,43.8,12.0,54.7,56.2,Sunny
2023-01-16,Philadelphia,33.8,-13.7,0.0,12.3,Rainy
2023-01-16,San Antonio,11.0,7.0,0.0,42.4,Rainy
2023-01-16,San Diego,7.1,-3.7,32.4,20.7,Sunny
2023-01-16,Dallas,39.7,38.0,0.0,23.6,Cloudy
2023-01-16,San Jose,13.9,-3.1,0.0,2.0,Sunny
2023-01-17,New York,7.9,-2.7,26.5,13.2,Rainy
2023-01-17,Los Angeles,12.4,-0.5,0.0,22.8,Snowy
2023-01-17,Chicago,12.1,10.6,0.0,2.4,Rainy
2023-01-17,Houston,22.1,-14.3,0.0,49.3,Sunny
2023-01-17,Phoenix,35.3,27.0,0.0,57.2,Cloudy
